Date,Content,Platform,Begin,End,Total,Course Title,Challenges Completed,Course Complete (Y/N),Title,LINK
2022-06-06,Python Coding Challenge,Code Abbey,8:00,10:00,2:00,,2,,,
2022-06-06,R,Coursera,10:00,10:30,0:30,R Programming,,,,
2022-06-06,SQL,Datacamp,11:00,12:00,1:00,Introduction to SQL,,,,
2022-06-06,SQL,Datacamp,16:00,17:00,1:00,Intermediate SQ:,,,,
2022-06-06,Data Analysis ,Coursera,21:00,22:00,1:00,Data Foundations,,,,
2022-06-06,Excel,Articles/Other,22:00,23:00,1:00,,,,,
2022-06-07,Data Analysis ,Coursera,2:30,3:00,0:30,Data Foundations,,,,
2022-06-07,Data Analysis ,Coursera,11:45,13:15,1:30,Data Foundations,,,,
2022-06-07,SQL,Datacamp,13:30,14:15,0:45,Intermediate SQL,,,,
2022-06-07,Data Science,Medium,21:00,21:30,0:30,,,,,
2022-06-07,Python Coding Challenge,Code Abbey,8:30,10:30,2:00,,2,,,
2022-06-07,Python,Udemy,21:45,22:45,1:00,Learning Python for Data Analysis and Visualization,,,,
2022-06-08,Python,Medium,8:30,8:40,0:10,,,,,
2022-06-08,Python Coding Challenge,Code Abbey,8:40,10:20,1:40,,2,,,
2022-06-08,Statistics,Udacity,10:30,11:20,0:50,Statistics,,,,
2022-06-08,Statistics,Khan,11:20,11:50,0:30,,,,,
2022-06-08,Python,Udemy,13:00,14:00,1:00,Learning Python for Data Analysis and Visualization,,,,
2022-06-08,Python ,Hackerrank,14:15,14:45,0:30,,1,,,
2022-06-08,Python,Hackerrank,15:25,16:15,0:50,,1,,,
2022-06-08,Data Science,Springboard,16:15,17:00,0:45,Program Orientation,,,,
2022-06-08,SQL,Udacity,20:15,21:00,0:45,SQL for Data Analysis,,,,
2022-06-08,SQL,Udacity,21:15,22:00,0:45,SQL for Data Analysis,,,,
2022-06-08,Python & SQL Review,Datacamp,22:00,22:15,0:15,,,,,
2022-06-08,Data Analysis ,Coursera,22:20,22:40,0:20,,,,,
2022-06-09,Python Coding Challenge,Code Abbey,8:45,11:30,2:45,,1,,,
2022-06-09,Data Analysis ,Coursera,12:00,12:20,0:20,Data Foundations,,,,
2022-06-09,Career Services,Springboard,12:20,12:50,0:30,Professional Development,,,,
2022-06-09,Data Analysis ,Coursera,12:50,14:50,2:00,Data Foundations,,Y,,
2022-06-09,Python,Udemy,17:45,18:40,0:55,Learning Python for Data Analysis and Visualization,,,,
2022-06-09,Single Variable Calculus,MIT Open Courseware,22:30,23:20,0:50,Single Variable Calculus,,,,
2022-06-10,Python,Udemy,14:00,14:45,0:45,Learning Python for Data Analysis and Visualization,,,,
2022-06-11,Python,Udemy,15:00,15:45,0:45,Learning Python for Data Analysis and Visualization,,,,
2022-06-11,Python,Udemy,16:00,17:45,1:45,Learning Python for Data Analysis and Visualization,,,,
2022-06-12,Python,Hackerrank,6:30,7:15,0:45,,1,,,
2022-06-12,Python,Udemy,7:15,8:00,0:45,,,,,
2022-06-12,Python,Udemy,9:30,10:15,0:45,,,,,
2022-06-13,Python,Udemy,2:30,3:00,0:30,Learning Python for Data Analysis and Visualization,,,,
2022-06-13,Data Science,Medium,10:45,11:00,0:15,,,,The Data Science Process,https://medium.springboard.com/the-data-science-process-the-complete-laymans-guide-to-what-a-data-scientist-actually-does-ca3e166b7c67#.zh6pzi1mb
2022-06-13,Machine Learning,Forbes,11:00,11:05,0:05,,,,Short History of ML,https://www.forbes.com/sites/bernardmarr/2016/02/19/a-short-history-of-machine-learning-every-manager-should-read/?sh=6562003815e7
2022-06-13,Python,Datacamp,11:30,11:45,0:15,Intermediate Python,,,,
2022-06-13,Curriculum ,Springboard,12:00,13:45,1:45,Intro,,,,
2022-06-13,Python,Springboard,13:45,15:00,1:15,Intro to Python,,,,
2022-06-13,Python,Springboard,18:00,20:30,2:30,Intro to Python,,,,
2022-06-13,Python,Springboard,21:30,22:30,1:00,Intro to Python,,,,
